experiment,dataset,model,method,reasoning_effort,num_candidates,total_cases,valid_cases,first_try_pass,first_try_pct,word_count_violations,api_content_filter,model_refusal,pipeline_failure,mean_attempts,mean_duration_s,overall_score,strict_micro_f1,lenient_micro_f1
gpt-5.1-answer-first-v4-high-k3,archehr-dev,gpt-5.1,answer_first,high,3,20,20,20,100.0,0,0,0,0,1.0,80.3,63.84364820846905,63.84364820846905,67.35395189003435
gpt-5.2-answer-first-v2-med-k3,archehr-dev,gpt-5.2,answer_first,medium,3,20,20,20,100.0,0,0,0,0,1.0,35.1,57.971014492753625,57.971014492753625,59.70149253731343
gpt-5.1-answer-first-v8-med-k1,archehr-dev,gpt-5.1,answer_first,medium,1,20,20,20,100.0,0,0,1,0,1.0,103083.4,59.19003115264798,59.19003115264798,62.091503267973856
gpt-5.1-answer-first-v9-high-k1,archehr-dev,gpt-5.1,answer_first,high,1,20,20,20,100.0,0,0,2,0,1.0,205844.2,61.68831168831169,61.68831168831169,65.51724137931035
gpt-5.1-answer-first-v9-med-k1-rewrite,archehr-dev,gpt-5.1,answer_first,medium,1,20,20,20,100.0,0,0,1,0,1.0,293.9,58.57988165680473,58.57988165680473,61.490683229813655
gpt-5.2-answer-first-v4-med-k5,archehr-test-2026,gpt-5.2,answer_first,medium,5,47,47,45,95.7,2,1,0,0,1.06,49.2,,,
gpt-5.1-answer-first-v9-med-k1-no-rewrite,archehr-dev,gpt-5.1,answer_first,medium,1,20,20,19,95.0,1,0,0,0,1.1,30.8,56.19335347432023,56.19335347432023,59.61538461538463
gpt-5.1-answer-first-v11-med-k1,archehr-dev,gpt-5.1,answer_first,medium,1,20,20,19,95.0,1,0,0,0,1.1,25.1,54.32098765432099,54.32098765432099,57.89473684210527
gpt-5.2-answer-first-v4-med-k3,archehr-dev,gpt-5.2,answer_first,medium,3,20,20,19,95.0,1,1,0,0,1.05,29.9,61.19402985074627,61.19402985074627,64.0625
gpt-5.2-answer-first-v4-high-k3,archehr-dev,gpt-5.2,answer_first,high,3,20,20,19,95.0,1,0,0,0,1.1,48.0,65.96491228070175,65.96491228070175,69.62962962962963
gpt-5.2-high-answer-first-k3,archehr-dev,gpt-5.2,answer_first,high,3,20,20,19,95.0,1,0,0,0,1.1,58.9,62.57309941520468,62.57309941520468,66.45962732919256
gpt-5.2-answer-first-v5-med-k1,archehr-dev,gpt-5.2,answer_first,medium,1,20,20,19,95.0,1,0,0,0,1.1,14.4,62.01550387596899,62.01550387596899,64.2570281124498
gpt-5.2-answer-first-v3-med-k3,archehr-dev,gpt-5.2,answer_first,medium,3,20,20,19,95.0,1,0,0,0,1.3,31.8,56.26740947075209,56.26740947075209,59.58702064896756
gpt-5.1-tight-1-sample,archehr-dev,gpt-5.1,grounded,medium,0,20,20,19,95.0,1,0,0,0,1.05,22.0,47.05882352941177,47.05882352941177,47.61904761904761
gpt-5.2-answer-first-v5-med-k3,archehr-dev,gpt-5.2,answer_first,medium,3,20,20,18,90.0,2,0,0,0,1.35,36.5,65.21739130434783,65.21739130434783,69.4980694980695
gpt-5.2-baseline-1-sample,archehr-dev,gpt-5.2,grounded,medium,0,20,20,18,90.0,2,0,0,0,1.2,11.3,57.34767025089605,57.34767025089605,60.836501901140686
gpt-5.2-med-answer-first-k3,archehr-dev,gpt-5.2,answer_first,medium,3,20,20,18,90.0,2,1,0,0,1.3,36.2,61.07784431137724,61.07784431137724,64.96815286624204
gpt-5.1-answer-first-v9-med-k1,archehr-dev,gpt-5.1,answer_first,medium,1,67,67,59,88.1,8,0,1,0,1.24,62.3,57.227138643067846,57.227138643067846,60.62499999999999
gpt-5.1-answer-first-v5-med-k1,archehr-dev,gpt-5.1,answer_first,medium,1,20,20,17,85.0,3,0,0,0,1.3,14.0,64.15094339622641,64.15094339622641,67.46031746031746
gpt-5.2-baseline-3-sample,archehr-dev,gpt-5.2,grounded,medium,0,20,20,17,85.0,3,0,0,0,1.25,23.2,55.67010309278352,55.67010309278352,59.55882352941176
gpt-5.1-baseline-3-sample,archehr-dev,gpt-5.1,grounded,medium,0,20,20,17,85.0,3,0,0,0,1.15,13.2,56.2874251497006,56.2874251497006,60.84142394822006
gpt-5.1-med-baseline-1-sample,archehr-dev,gpt-5.1,grounded,medium,0,20,20,17,85.0,3,0,0,0,1.2,26.8,62.16216216216216,62.16216216216216,65.94982078853046
gpt-5.2-med-baseline-1-sample,archehr-dev,gpt-5.2,grounded,medium,0,20,20,17,85.0,3,0,0,0,1.25,26.7,56.41025641025641,56.41025641025641,60.48109965635739
gpt-5.1-answer-first-v10-med-k1,archehr-dev,gpt-5.1,answer_first,medium,1,67,67,55,82.1,12,0,1,0,1.42,58.4,59.19003115264798,59.19003115264798,62.7062706270627
gpt-5.1-answer-first-v5-med-k3,archehr-dev,gpt-5.1,answer_first,medium,3,20,20,16,80.0,4,0,0,0,1.4,28.9,61.82965299684543,61.82965299684543,65.77181208053692
gpt-5.1-answer-first-v4-med-k3,archehr-dev,gpt-5.1,answer_first,medium,3,67,67,51,76.1,16,0,0,0,1.51,30.6,66.22073578595318,66.22073578595318,70.96774193548389
gpt-5.1-answer-first-3,archehr-dev,gpt-5.1,answer_first,medium,3,20,20,15,75.0,5,2,0,0,1.65,43.2,56.91489361702128,56.91489361702128,60.79545454545456
gpt-5.1-answer-first-v2-med-k3,archehr-dev,gpt-5.1,answer_first,medium,3,20,20,15,75.0,5,0,0,0,1.5,41.5,61.83574879227053,61.83574879227053,63.681592039801
gpt-5.2-high-answer-first-k5,archehr-dev,gpt-5.2,answer_first,high,5,20,20,15,75.0,5,0,0,0,1.75,80.8,60.64139941690962,60.64139941690962,64.39628482972137
gpt-5.2-answer-first-v9-med-k1,archehr-dev,gpt-5.2,answer_first,medium,1,20,20,15,75.0,5,0,0,0,1.6,31.6,64.4736842105263,64.4736842105263,67.82006920415225
gpt-5.1-tight-v2-1-sample,archehr-dev,gpt-5.1,grounded,medium,0,20,20,15,75.0,5,0,0,0,1.25,0.0,61.7100371747212,61.7100371747212,64.84375
gpt-5.1-tight-v1,archehr-dev,gpt-5.1,grounded,medium,0,21,20,14,70.0,5,0,0,1,1.35,27.0,63.1578947368421,63.1578947368421,65.34653465346534
gpt-5.1-answer-first-v4-med-k5,archehr-test-2026,gpt-5.1,answer_first,medium,5,47,47,32,68.1,15,1,0,0,1.72,46.5,,,
gpt-5.2-answer-first-v6-med-k5,archehr-dev,gpt-5.2,answer_first,medium,5,67,67,45,67.2,22,1,1,0,1.82,62.5,61.63141993957704,61.63141993957704,65.17571884984025
gpt-5.2-answer-first-v6-med-k3,archehr-test-2026,gpt-5.2,answer_first,medium,3,47,47,29,61.7,18,1,0,0,1.87,44.4,,,
gpt-5.1-baseline-1-sample,archehr-dev,gpt-5.1,grounded,medium,0,20,20,12,60.0,8,0,0,0,1.65,7.7,60.23391812865497,60.23391812865497,64.17445482866043
gpt-5.2-answer-first-v7-med-k1,archehr-dev,gpt-5.2,answer_first,medium,1,67,67,37,55.2,30,0,1,0,2.43,30915.2,58.245614035087726,58.245614035087726,60.8058608058608
gpt-5.1-answer-first-v3-med-k3,archehr-dev,gpt-5.1,answer_first,medium,3,20,20,10,50.0,10,0,0,0,2.05,29.0,59.078590785907856,59.078590785907856,63.005780346820806
gpt-5.1-answer-first-v6-med-k3,archehr-test-2026,gpt-5.1,answer_first,medium,3,47,47,18,38.3,29,1,0,0,2.4,42.7,,,
gpt-5.1-answer-first-v6-med-k5,archehr-test-2026,gpt-5.1,answer_first,medium,5,47,47,14,29.8,33,2,0,0,3.02,66.2,,,
