factor,value,dataset,n_cases,first_try_pct,wc_violation_pct,mean_attempts,mean_latency_s,median_latency_s
method,answer_first,dev,520,87.5,12.5,1.32,15906.5,32.0
method,grounded,dev,180,81.1,18.3,1.26,19.1,16.0
method,answer_first,test,470,64.3,35.7,1.89,51.8,39.8
reasoning_effort,high,dev,100,93.0,7.0,1.19,41222.4,54.6
reasoning_effort,medium,dev,600,84.7,15.2,1.32,7097.9,25.2
reasoning_effort,medium,test,470,64.3,35.7,1.89,51.8,39.8
num_candidates,0,dev,180,81.1,18.3,1.26,19.1,16.0
num_candidates,1,dev,220,88.6,11.4,1.28,37536.6,27.2
num_candidates,3,dev,256,88.3,11.7,1.27,40.5,34.2
num_candidates,5,dev,39,79.5,20.5,1.69,69.4,58.9
num_candidates,1,test,141,74.5,25.5,1.72,57.5,29.8
num_candidates,3,test,141,56.0,44.0,1.99,39.5,37.9
num_candidates,5,test,183,63.4,36.6,1.92,57.0,55.8
model,gpt-5.1,dev,400,84.8,15.0,1.27,16089.9,25.4
model,gpt-5.2,dev,300,87.3,12.7,1.35,6933.0,30.8
model,gpt-5.1,test,282,62.1,37.9,1.93,53.3,35.4
model,gpt-5.2,test,188,67.6,32.4,1.84,49.4,47.3
